action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,766,253,0.000457
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,630,262,0.00044
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,7879,958,0.002725
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,8470,2616,0.004833
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,4765,266,0.001272
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,4772,305,0.00132
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,4822,783,0.001904
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,7792,720,0.002422
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,6835,1634,0.003328
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,661,154,0.000317
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,662,189,0.000359
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,724,145,0.000319
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9468,2180,0.00451
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,18228,667,0.004446
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,18467,553,0.004357
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,19076,2544,0.006868
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,19284,2756,0.007164
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,20723,1748,0.006242
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,19960,228,0.004266
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5984,1713,0.003252
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3428,1519,0.002508
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3501,498,0.001298
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,14480,2048,0.005068
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13670,1797,0.00489
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,8495,2125,0.004249
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,10744,2490,0.005137
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,2688,337,0.000942
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3553,650,0.001491
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,14549,2048,0.005082
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13734,2378,0.0056
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,8495,2356,0.004526
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,10641,3324,0.006117
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,2586,345,0.000931
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3543,544,0.001361
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,14499,2048,0.005072
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13685,2335,0.005539
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,8495,1989,0.004086
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,10743,2598,0.005266
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3546,537,0.001354
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,14379,2048,0.005048
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13558,2992,0.006302
