report,refinement_records,valid_candidates,model,limitation
2412-activate-technology-and-media-outlook-2025-ecommerce-pdf,2,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
90bbb6f141259489c1a1cfebc200a905a628186c-pdf,10,10,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2021-post-covid-agenda-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-consumer-internet-and-media-revenues-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-consumer-time-and-attention-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-discovery-and-generative-ai-pdf,4,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-social-video-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-sports-media-and-betting-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-super-users-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-video-gaming-pdf,6,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-video-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2017-pdf,6,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2019-pdf,6,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2021-pdf,6,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2023-pdf,6,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2025-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-media-outlook-2026-acig-pdf,8,7,gpt-5-mini,No .qa.json visual-defect sidecars retained.
cf091e263a2b6ed29222c5c60b6ed133a90fbe0c-pdf,4,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
d01c72af1b10260d54ec45e891bfc7af40a041ce-pdf,8,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
d8ca0bf6efb9c703343867f6df0f26a2553aa78f-pdf,6,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
