action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,617,229,0.000398
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,712,496,0.000738
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2026,402,0.000888
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2037,438,0.000933
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,8304,713,0.002516
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,9250,2307,0.004618
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,5197,212,0.001294
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,5187,509,0.001648
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,5290,582,0.001756
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,8662,554,0.002397
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,7318,1924,0.003772
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,683,199,0.000375
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,810,130,0.000318
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,594,143,0.00029
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9712,1555,0.003808
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,14567,476,0.003485
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,14533,1196,0.004342
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,15698,2603,0.006263
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,15490,2339,0.005905
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17292,1660,0.00545
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16343,142,0.003439
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3087,1118,0.001959
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5707,1646,0.003117
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5324,893,0.002136
