action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,740,365,0.000586
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,897,441,0.000709
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,633,333,0.000526
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,610,463,0.000678
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,7860,2860,0.005004
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,7303,312,0.001835
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,7224,416,0.001944
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,7285,449,0.001996
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,7343,626,0.00222
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,10448,8192,0.01192
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,9357,1637,0.003836
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,801,175,0.00037
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,799,179,0.000375
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,17835,726,0.004438
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,785,144,0.00033
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,786,168,0.000359
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9600,1979,0.004295
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,14617,503,0.003527
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,14650,477,0.003502
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,15536,1960,0.005459
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,15744,2757,0.006457
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,16247,1093,0.004561
structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,openai,gpt-5.6-luna,15313,1914,0.005359
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17633,1778,0.00566
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,17305,200,0.003701
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3060,1049,0.001871
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,7026,1439,0.003132
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,6791,1431,0.003075
