action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,479,227,0.000368
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,909,307,0.00055
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,722,314,0.000521
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,11745,1052,0.003611
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,15137,2388,0.005893
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,9040,232,0.002086
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,8648,592,0.00244
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,16030,634,0.003967
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,15849,673,0.003977
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,16953,1758,0.0055
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9643,1911,0.004222
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,11387,505,0.002883
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,11297,355,0.002685
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,12274,2070,0.004939
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,12482,2811,0.00587
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,14199,1810,0.005012
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,13394,191,0.002908
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,2811,1061,0.001835
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6428,1433,0.003005
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5977,824,0.002184
