action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,13934,699,0.004882
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17502,542,0.005459
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17565,651,0.003936
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17681,855,0.004373
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18904,815,0.004369
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19028,833,0.004436
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18339,577,0.003752
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18471,621,0.003873
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17590,1499,0.005408
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_onsite_report,openai,gpt-5-mini,14320,434,0.002432
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_onsite_report,openai,gpt-5-mini,17663,758,0.004175
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_onsite_report,openai,gpt-5-mini,3396,994,0.002837
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_onsite_report,openai,gpt-5-mini,18602,1210,0.005314
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,14100,639,0.002787
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17244,517,0.003588
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17252,632,0.00382
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_onsite_report,openai,gpt-5-mini,18797,2302,0.007316
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17343,587,0.003753
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17447,635,0.003645
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17610,526,0.003467
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17696,848,0.004133
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17810,648,0.003761
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17934,810,0.004116
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19059,1996,0.00677
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,14118,592,0.002698
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17266,586,0.003732
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17632,751,0.004153
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17825,1806,0.006311
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,13965,482,0.002439
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17838,505,0.003713
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18750,732,0.004395
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14229,635,0.002811
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18860,677,0.004312
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17620,615,0.003878
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19080,688,0.004159
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17607,595,0.003835
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17732,817,0.00431
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17892,508,0.003502
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18261,658,0.003894
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18186,533,0.003625
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,19374,804,0.004464
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18591,692,0.004045
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19823,608,0.004185
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19141,566,0.00393
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19474,522,0.003925
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,20157,591,0.004234
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19071,567,0.003915
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19492,524,0.003703
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,20234,589,0.004249
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18719,798,0.004058
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,20339,1300,0.005467
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,13964,582,0.004655
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17808,579,0.00561
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18957,690,0.004362
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17684,692,0.004048
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19161,2289,0.007381
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19197,1800,0.006412
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,13931,531,0.002529
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17740,633,0.003944
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18138,869,0.004516
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17714,604,0.00388
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18792,1688,0.006087
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19128,643,0.004081
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19354,790,0.004431
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19062,2383,0.007544
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14016,531,0.00255
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14232,533,0.002838
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14206,671,0.002878
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17534,850,0.004327
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17831,669,0.004039
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17923,861,0.004446
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18065,729,0.003987
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14178,704,0.002936
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18105,897,0.004563
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18659,795,0.004498
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18849,1647,0.006249
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14152,533,0.002588
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17981,753,0.004244
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,19125,759,0.004542
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,19297,1704,0.006475
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14192,605,0.002742
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18551,981,0.004843
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17942,1563,0.005855
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14192,583,0.001546
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18029,715,0.00418
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17862,599,0.003907
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17991,562,0.003865
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18127,553,0.003651
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18298,674,0.003935
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14045,591,0.002677
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17792,646,0.003983
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17711,562,0.003795
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17824,993,0.004685
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17933,675,0.003846
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18080,610,0.003753
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,14100,627,0.002763
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17240,746,0.004045
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17231,752,0.004055
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17351,506,0.003593
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18466,676,0.003981
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17567,475,0.003355
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17661,487,0.003402
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17758,612,0.003676
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17873,526,0.003533
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19012,514,0.003794
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,14229,648,0.002837
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17729,768,0.004211
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17789,1485,0.00566
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14230,538,0.002618
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,17655,472,0.003601
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,13934,612,0.002692
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,17523,605,0.003834
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,16615,727,0.003851
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18315,545,0.003912
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18418,677,0.003971
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18525,933,0.00451
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18638,649,0.00397
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18778,781,0.004269
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18936,828,0.004403
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19063,1178,0.005135
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18239,617,0.003807
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18682,577,0.003837
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,18688,698,0.004081
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19371,549,0.003723
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19333,873,0.004362
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,openai,gpt-5-mini,19532,1000,0.004665
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,14533,470,0.002557
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,17121,598,0.003719
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,18032,681,0.004113
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,18011,690,0.004126
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,18130,789,0.004123
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,19470,735,0.00435
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,20060,720,0.004468
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,20738,572,0.004341
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,20838,653,0.004528
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,openai,gpt-5-mini,21026,543,0.004355
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_tracker_redirect,openai,gpt-5-mini,13950,670,0.002812
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_tracker_redirect,openai,gpt-5-mini,17390,547,0.003685
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_tracker_redirect,openai,gpt-5-mini,17323,723,0.00402
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_tracker_redirect,openai,gpt-5-mini,17942,530,0.003789
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_tracker_redirect,openai,gpt-5-mini,19585,2033,0.006975
