action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,738,379,0.000602
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,871,424,0.000683
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,727,316,0.000525
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,835,531,0.000804
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,742,438,0.000674
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,794,396,0.000634
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,736,472,0.000714
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,624,256,0.000432
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,815,528,0.000797
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,757,341,0.000561
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,16813,2664,0.006559
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,10184,266,0.002356
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,9888,372,0.002424
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,9988,618,0.002739
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,9018,1068,0.003085
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,11797,2118,0.004901
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,670,136,0.000297
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,13904,8192,0.012611
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12040,565,0.003086
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9682,1863,0.004172
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,14113,496,0.003418
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,14133,449,0.003365
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,15009,1928,0.005315
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,15217,3318,0.007025
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17320,2574,0.006553
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16307,295,0.003615
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3303,1792,0.002811
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6058,2322,0.003998
