action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,734,277,0.000479
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,386,175,0.000287
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,870,820,0.001158
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6404,808,0.00225
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,12658,914,0.003628
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,17522,2495,0.006498
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,9339,274,0.002197
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,776,501,0.000756
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,754,538,0.000796
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,9641,491,0.002517
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,393,149,0.000257
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,9355,556,0.002538
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,17199,606,0.004167
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,11998,1338,0.004005
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,839,131,0.000325
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9565,2229,0.004588
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,14367,483,0.003453
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,14328,431,0.003383
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,15419,2388,0.005949
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,15211,2126,0.005593
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,16947,1993,0.005781
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16026,181,0.003422
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,2949,1509,0.002401
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,2296,658,0.001249
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6102,1783,0.00336
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,4336,356,0.001294
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,12669,2048,0.004991
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,11858,3614,0.006708
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,8821,1159,0.003155
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,617,248,0.000421
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,712,477,0.000715
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2026,345,0.000819
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2037,372,0.000854
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,14736,2765,0.006265
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,5712,182,0.001361
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,5731,349,0.001565
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,9726,530,0.002581
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,5778,666,0.001955
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,7749,1717,0.00361
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,582,96,0.000232
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1017,128,0.000357
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1482,137,0.000461
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,990,164,0.000395
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9539,2243,0.004599
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,15206,534,0.003682
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,15228,321,0.003431
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,16087,1925,0.005527
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,16295,2584,0.00636
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17725,1552,0.005407
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16831,209,0.003617
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5255,1683,0.003071
