action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,734,243,0.000438
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,386,137,0.000242
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,870,598,0.000892
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6404,1093,0.002592
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,12629,723,0.003393
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,9872,2156,0.004562
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,9308,236,0.002145
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,9303,463,0.002416
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,9617,670,0.002727
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,17330,515,0.004084
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,11370,1660,0.004266
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,829,236,0.000449
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,839,69,0.000251
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1023,188,0.00043
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9625,2012,0.004339
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,16502,554,0.003965
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,16553,696,0.004146
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,17357,1718,0.005533
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,17565,2961,0.007066
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,19265,1763,0.005969
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,18352,158,0.00386
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3009,1737,0.002686
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5500,2086,0.003603
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,4970,878,0.002048
