action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,913,454,0.000727
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,721,560,0.000816
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,494,231,0.000376
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,949,536,0.000833
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,943,693,0.00102
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,762,661,0.000946
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3339,610,0.0014
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3357,439,0.001198
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,16474,1119,0.004638
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,24278,2091,0.007365
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,12691,257,0.002847
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,12853,353,0.002994
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,12575,506,0.003122
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,12831,880,0.003622
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,14991,1270,0.004522
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1036,161,0.0004
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1020,222,0.00047
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1028,151,0.000387
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9644,1512,0.003743
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,13572,639,0.003481
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,13613,312,0.003097
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,14497,2030,0.005335
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,14705,2772,0.006267
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,16646,2099,0.005848
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,15764,184,0.003374
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,8175,1244,0.003128
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3289,1603,0.002581
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,7757,993,0.002743
