action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,13945,399,0.002268
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18273,717,0.004245
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18667,1563,0.006036
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,14014,566,0.00262
browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,openai,gpt-5-mini,18561,1897,0.006677
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,738,1127,0.002439
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,738,1114,0.002413
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,719,1131,0.002442
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,866,1323,0.002863
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,876,1380,0.002979
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,867,1506,0.003229
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,745,1256,0.002698
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,740,2725,0.005635
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,879,1579,0.003378
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,838,1644,0.003497
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,730,2404,0.004991
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,829,2277,0.004761
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,871,1387,0.002992
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,822,1507,0.003219
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,856,1250,0.002714
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,737,1967,0.004118
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,893,1573,0.003369
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,512,790,0.001708
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,905,1386,0.002998
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,747,1442,0.003071
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,729,2980,0.006142
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,738,1712,0.003609
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,727,2595,0.005372
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,844,2464,0.005139
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,835,1834,0.003877
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,886,1643,0.003508
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,783,1515,0.003226
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,742,1130,0.002445
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,729,1454,0.00309
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,820,1261,0.002727
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,728,1381,0.002944
