action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,731,432,0.000665
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,883,391,0.000646
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,839,399,0.000647
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,728,668,0.000947
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,876,389,0.000642
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,740,404,0.000633
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,410,124,0.000231
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6389,514,0.001895
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6394,559,0.00195
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6406,606,0.002008
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6419,315,0.001662
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6411,507,0.001891
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6416,542,0.001934
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6408,326,0.001673
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6427,543,0.001937
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6419,386,0.001747
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6438,436,0.001811
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,12112,821,0.003408
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,15778,1852,0.005378
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,8978,346,0.002211
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,8540,441,0.002237
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,15479,526,0.003727
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,10654,1572,0.004017
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,8904,769,0.002704
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,686,93,0.000249
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,687,125,0.000287
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9614,1750,0.004023
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,18534,581,0.004404
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,18444,459,0.00424
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,19425,1975,0.006255
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,19633,2599,0.007045
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,21166,2263,0.006949
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,20337,204,0.004312
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3085,1773,0.002745
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5484,1560,0.002969
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,4910,829,0.001977
structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,openai,gpt-5.6-luna,4294,1064,0.002136
