action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,765,437,0.000677
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,992,661,0.000992
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,738,442,0.000678
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,616,258,0.000433
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,967,445,0.000727
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,978,303,0.000559
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,990,295,0.000552
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,1000,270,0.000524
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,976,305,0.000561
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,962,268,0.000514
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,426,149,0.000264
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,17924,1062,0.004859
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,13890,2181,0.005395
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,13277,314,0.003032
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,14862,351,0.003394
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,13555,563,0.003387
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,26829,843,0.006377
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,17151,1741,0.005519
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1213,189,0.000469
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9510,1592,0.003812
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,13286,523,0.003285
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,13196,665,0.003437
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,14207,2056,0.005309
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,14415,2229,0.005558
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,16365,1978,0.005647
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,15575,238,0.003401
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3434,1552,0.002549
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6844,1934,0.00369
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,6406,744,0.002174
structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,openai,gpt-5.6-luna,5663,1131,0.00249
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,5051,716,0.001869
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,16142,2048,0.005686
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,15410,2626,0.006233
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,2346,97,0.000586
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,15816,2048,0.005336
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,15078,2460,0.005968
