date,provider,model,action,semantic_task,prompt_namespace,provider_call_status,request_count,input_tokens,cached_input_tokens,output_tokens,total_tokens,estimated_cost_usd,unknown_pricing_count
2026-07-20,openai,gpt-5-mini,artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,completed,8,94995,0,4709,99704,0.033165,0
2026-07-20,openai,gpt-5-mini,artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,completed,8,32504,0,13001,45505,0.034129,0
2026-07-20,openai,gpt-5-mini,artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,completed,8,80352,3840,34759,115111,0.088743,0
2026-07-20,openai,gpt-5-mini,artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,completed,8,97922,0,28104,126026,0.08069,0
2026-07-20,openai,gpt-5-mini,artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,completed,8,28770,0,13398,42168,0.03399,0
2026-07-20,openai,gpt-5-mini,artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,completed,8,80189,3840,9524,89713,0.038232,0
2026-07-20,openai,gpt-5-mini,artifacts:summary,artifacts:summary,report_vs/artifacts/summary,completed,8,78992,3840,20562,99554,0.060008,0
2026-07-20,openai,gpt-5-mini,context_category_fit,categories,report_vs/context_category_fit,completed,12,87885,7552,21964,109849,0.0642,0
2026-07-20,openai,gpt-5-mini,doc_map,evidence:doc_map,report_vs/doc_map,completed,11,135915,0,63751,199666,0.161483,0
2026-07-20,openai,gpt-5-mini,evidence_packs:findings,evidence:findings,report_vs/evidence_packs/findings,completed,11,109034,0,29259,138293,0.085775,0
2026-07-20,openai,gpt-5-mini,evidence_packs:limitations,evidence:limitations,report_vs/evidence_packs/limitations,completed,11,110574,0,27619,138193,0.082883,0
2026-07-20,openai,gpt-5-mini,evidence_packs:methods,evidence:methods,report_vs/evidence_packs/methods,completed,11,109530,0,34581,144111,0.096546,0
2026-07-20,openai,gpt-5-mini,evidence_packs:quote_candidates,evidence:quote_candidates,report_vs/evidence_packs/quote_candidates,completed,11,111018,0,26912,137930,0.08158,0
2026-07-20,openai,gpt-5-mini,evidence_packs:scope,evidence:scope,report_vs/evidence_packs/scope,completed,11,108446,0,17902,126348,0.062914,0
2026-07-20,openai,gpt-5-mini,taxonomy,taxonomy,report_vs/taxonomy,completed,11,156260,0,21866,178126,0.082797,0
2026-07-20,openai,gpt-5-mini,validate:grounding,validation:grounding,report_vs/validate/grounding,completed,7,42990,0,14187,57177,0.039122,0
2026-07-20,openai,gpt-5-mini,validate:semantic,validation:semantic,report_vs/validate/semantic,completed,7,25743,0,10124,35867,0.026684,0
