action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,559,195,0.000346
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,6976,900,0.002475
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,4308,1299,0.00242
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,913,284,0.000523
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,721,512,0.000759
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,2752,236,0.000834
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,2732,210,0.000798
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,2788,388,0.001023
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,494,251,0.0004
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,949,568,0.000871
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,3725,404,0.00123
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,3706,616,0.00148
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,992,155,0.000384
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,986,217,0.000458
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,943,1045,0.001443
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,956,234,0.000472
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,966,202,0.000436
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,762,664,0.000949
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,973,165,0.000393
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3422,609,0.001415
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3417,855,0.001709
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,8825,1577,0.003657
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3442,612,0.001423
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,10772,570,0.002838
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3435,616,0.001426
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,10923,792,0.003135
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,11629,1827,0.004518
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,11837,2363,0.005203
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,13176,1523,0.004463
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,12285,181,0.002674
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3035,1164,0.002004
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,4554,1531,0.002748
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,4029,829,0.001801
structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,openai,gpt-5.6-luna,3925,901,0.001866
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,16398,955,0.004426
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,24377,2372,0.007722
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,909,280,0.000518
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,479,270,0.00042
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,722,259,0.000455
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,12795,483,0.003139
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,12780,483,0.003136
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,12626,304,0.00289
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,12529,897,0.003582
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,14867,1596,0.004889
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,926,183,0.000405
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9660,2141,0.004501
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,13257,473,0.003219
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,13167,909,0.003724
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,14087,1608,0.004747
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,14295,2841,0.006268
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,16244,1934,0.00557
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,15421,268,0.003406
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,2903,1191,0.00201
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6762,1483,0.003132
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,6185,843,0.002249
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,11730,1022,0.003572
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,14728,2021,0.005371
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,765,451,0.000694
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,992,529,0.000833
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,8805,269,0.002084
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,8747,346,0.002165
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,738,388,0.000613
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,8453,880,0.002747
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,967,399,0.000672
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,616,223,0.000391
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,15428,693,0.003917
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,978,309,0.000566
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,15787,1831,0.005355
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,990,312,0.000572
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,1000,305,0.000566
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,976,301,0.000556
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,962,325,0.000582
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9600,1759,0.004031
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,426,121,0.00023
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,11993,769,0.003321
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,11903,639,0.003147
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,13094,2257,0.005327
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,12886,2190,0.005205
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,14687,1690,0.004965
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,13913,187,0.003007
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6898,1188,0.002805
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,2924,1955,0.002931
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,6396,1103,0.002603
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,604,292,0.000471
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,18811,1087,0.005067
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,24874,2676,0.008186
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,15210,254,0.003347
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,15002,346,0.003416
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,13004,688,0.003426
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,27244,715,0.006307
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,18588,1597,0.005634
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1205,166,0.00044
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1207,183,0.000461
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9487,1480,0.003673
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,14455,702,0.003733
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,14410,269,0.003205
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,15482,2103,0.00562
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,15690,2704,0.006383
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17647,2105,0.006055
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16723,232,0.003623
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,8430,1579,0.003581
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3846,1482,0.002548
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,8096,936,0.002742
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,5329,591,0.001775
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,17287,2048,0.005915
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,16590,1857,0.005546
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,15388,2894,0.00655
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,17735,3726,0.008018
