action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,629,218,0.000387
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,880,419,0.000679
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,893,466,0.000738
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,889,521,0.000803
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,848,368,0.000611
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,898,434,0.0007
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,937,564,0.000864
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,818,676,0.000975
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,865,361,0.000606
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,828,415,0.000664
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,436,242,0.000378
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6400,131,0.001437
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,16448,1071,0.004575
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,15151,1908,0.00532
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,10500,304,0.002465
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,10972,398,0.002672
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,11103,601,0.002942
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,12136,513,0.003043
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,15025,1434,0.004726
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9324,1599,0.003784
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,11506,583,0.003001
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,11659,782,0.00327
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,11416,663,0.003079
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,12627,1819,0.004708
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,12419,2679,0.005699
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,12749,587,0.003254
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,12070,136,0.002577
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,4139,1275,0.002358
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,2663,1577,0.002425
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,3678,634,0.001496
