stage,outcome,failure_code
publication_preflight,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
publication_preflight,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,Artifact evidence references contain unknown identifiers
publication_preflight,blocked,[Errno 2] No such file or directory: 'C:\\Programing\\Market lense\\out\\reliability_full_20260810_62d021b3b57440eb8113ff5d5e105578\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf\\slices\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf-chart-2-0.png.fingerprint.json.tmp-write-10344'
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,summary.tldr must be a complete sentence of 1 to 45 words
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,insights_final did not produce a substantive schema-valid JSON artifact
publication_preflight,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
publication_preflight,blocked,Artifact evidence references contain unknown identifiers
