date,provider,model,action,semantic_task,prompt_namespace,provider_call_status,request_count,input_tokens,cached_input_tokens,output_tokens,total_tokens,estimated_cost_usd,unknown_pricing_count
2026-08-12,openai,gpt-5-mini,browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,completed,38,682884,310144,28506,711390,0.157951,0
2026-08-12,openai,gpt-5-mini,browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_onsite_report,completed,5,72778,33408,5698,78476,0.022074,0
2026-08-12,openai,gpt-5-mini,browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_pdf_click,completed,8,140901,67712,5165,146066,0.030319,0
2026-08-13,openai,gpt-5-mini,artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,completed,28,313418,0,16376,329794,0.11111,0
2026-08-13,openai,gpt-5-mini,artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,completed,28,114909,0,49320,164229,0.127369,0
2026-08-13,openai,gpt-5-mini,artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,completed,32,302552,2816,133409,435961,0.341822,0
2026-08-13,openai,gpt-5-mini,artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,completed,29,307181,0,114559,421740,0.305913,0
2026-08-13,openai,gpt-5-mini,artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,completed,28,96543,0,41171,137714,0.10648,0
2026-08-13,openai,gpt-5-mini,artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,completed,32,299378,0,78148,377526,0.23114,0
2026-08-13,openai,gpt-5-mini,artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,completed,3,18139,0,4761,22900,0.014057,0
2026-08-13,openai,gpt-5-mini,artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,completed,19,264842,0,54556,319398,0.175323,0
2026-08-13,openai,gpt-5-mini,artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,completed,19,291932,0,70381,362313,0.213747,0
2026-08-13,openai,gpt-5-mini,artifacts:regenerate:linkedin_post,artifacts:regenerate:linkedin_post,report_vs/artifacts/regenerate/linkedin_post,completed,4,22931,0,6152,29083,0.018036,0
2026-08-13,openai,gpt-5-mini,artifacts:regenerate:quotes,artifacts:regenerate:quotes,report_vs/artifacts/regenerate/quotes,completed,3,34363,0,11826,46189,0.032242,0
2026-08-13,openai,gpt-5-mini,artifacts:regenerate:summary,artifacts:regenerate:summary,report_vs/artifacts/regenerate/summary,completed,8,106818,0,25198,132016,0.0771,0
2026-08-13,openai,gpt-5-mini,artifacts:summary,artifacts:summary,report_vs/artifacts/summary,completed,32,292536,2816,95560,388096,0.263619,0
2026-08-13,openai,gpt-5-mini,browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_email_form,completed,10,187959,85376,6451,194410,0.04068,0
2026-08-13,openai,gpt-5-mini,browser_use_llm_call,browser_use_llm_call,browser_report_download/browser_route/browser_listing_hub,completed,57,1007336,469248,47757,1055093,0.241766,0
