action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,559,169,0.000315
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,5384,1788,0.003222
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,2732,208,0.000796
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,2779,533,0.001195
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,3717,424,0.001252
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,3745,374,0.001198
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,4167,1045,0.002087
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,988,142,0.000368
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,972,176,0.000406
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,985,153,0.000381
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,6849,8192,0.0112
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,956,128,0.000345
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,966,150,0.000373
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,4948,306,0.001357
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,954,141,0.00036
structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,openai,gpt-5.6-luna,5575,613,0.001851
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9296,1603,0.003783
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,15111,602,0.003745
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,15243,523,0.003676
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,16266,1943,0.005585
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,16058,1934,0.005532
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17713,1526,0.005374
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16813,83,0.003462
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3163,1534,0.002473
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5135,2282,0.003765
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,2898,484,0.00116
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,12938,2048,0.00476
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12093,2398,0.005296
