action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,604,349,0.00054
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,12788,995,0.003752
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,10213,2295,0.004797
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,9650,189,0.002157
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,9635,410,0.002419
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,9610,521,0.002547
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,9727,720,0.002809
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,11589,1450,0.004058
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1169,195,0.000468
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,913,143,0.000354
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,915,151,0.000364
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1157,163,0.000427
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9602,2141,0.00449
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,15631,568,0.003808
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,15820,876,0.004215
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,16465,1500,0.005093
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,16673,2304,0.006099
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,17302,1299,0.005019
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,18080,1420,0.00532
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,17338,279,0.003802
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3481,1102,0.002019
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5747,1723,0.003217
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,2966,824,0.001582
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,4633,512,0.001541
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,15867,2048,0.005346
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,15030,2788,0.006352
