action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,7223,817,0.002425
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,7118,1861,0.003657
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,4114,198,0.00106
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,4111,374,0.001271
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,4175,494,0.001428
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,6474,226,0.001566
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,4216,402,0.001326
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,5990,1224,0.002667
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,647,149,0.000308
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,821,156,0.000351
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,829,218,0.000427
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,827,149,0.000344
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,862,193,0.000404
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,862,109,0.000303
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,613,227,0.000395
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,841,174,0.000377
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,816,204,0.000408
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,837,163,0.000363
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,819,262,0.000478
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9470,1802,0.004056
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,16647,295,0.003683
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,16893,537,0.004023
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,17639,2363,0.006363
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,17431,2037,0.005931
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,19559,2105,0.006438
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,18850,149,0.003949
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5163,1292,0.002583
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,4660,963,0.002088
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,2471,2112,0.003029
structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,openai,gpt-5.6-luna,3960,974,0.001961
