stage,outcome,failure_code
wordpress_write,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
wordpress_write,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,Artifact evidence references contain unknown identifiers
wordpress_write,blocked,[Errno 2] No such file or directory: 'C:\\Programing\\Market lense\\out\\reliability_full_20260810_62d021b3b57440eb8113ff5d5e105578\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf\\slices\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf-chart-2-0.png.fingerprint.json.tmp-write-10344'
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,summary.tldr must be a complete sentence of 1 to 45 words
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,insights_final did not produce a substantive schema-valid JSON artifact
wordpress_write,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
wordpress_write,blocked,Artifact evidence references contain unknown identifiers
