action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,754,339,0.000558
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,776,503,0.000759
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,393,153,0.000262
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2053,1631,0.002368
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2074,614,0.001152
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,14591,2492,0.005909
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,5702,221,0.001406
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,5733,373,0.001594
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,9693,541,0.002588
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,5745,644,0.001922
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,8827,8192,0.011596
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,7678,1762,0.00365
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,11971,291,0.002743
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1482,172,0.000503
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,962,138,0.000358
structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,openai,gpt-5.6-luna,8557,1043,0.002963
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9616,1940,0.004251
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,14913,549,0.003641
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,14907,242,0.003272
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,15964,2104,0.005718
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,15756,2530,0.006187
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17486,1703,0.005541
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16677,167,0.003536
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3181,1374,0.002285
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5564,1857,0.003341
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5125,932,0.002143
