action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,790,1253,0.002704
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,894,1846,0.003916
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,767,999,0.00219
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,898,1442,0.003108
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,917,1276,0.002781
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,786,1508,0.003213
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,778,1186,0.002567
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,807,1262,0.002726
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,776,2531,0.005256
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,903,3236,0.006698
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,884,2367,0.004955
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,729,1071,0.002324
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,385,724,0.001544
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,875,1122,0.002463
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,903,1954,0.004134
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,805,2532,0.005265
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,856,1258,0.00273
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,880,1313,0.002846
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,761,1263,0.002716
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,856,1515,0.003244
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5-mini,714,938,0.002054
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5-mini,11979,4068,0.011131
doc_map,doc_map,report_vs/doc_map,openai,gpt-5-mini,10096,4044,0.010612
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5-mini,6202,767,0.003085
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5-mini,2025,763,0.002032
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5-mini,12257,4085,0.011234
doc_map,doc_map,report_vs/doc_map,openai,gpt-5-mini,9533,4064,0.010511
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5-mini,6142,971,0.003478
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5-mini,9094,2723,0.007719
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5-mini,9344,1619,0.005574
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5-mini,2022,1070,0.002645
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5-mini,9223,2163,0.006632
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5-mini,9158,3074,0.008438
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5-mini,8829,3380,0.008967
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5-mini,10334,1578,0.005739
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5-mini,9276,2719,0.007757
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5-mini,10416,3055,0.008714
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5-mini,9148,1932,0.006151
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5-mini,7972,2518,0.007029
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5-mini,7974,2539,0.007071
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5-mini,7796,3759,0.009467
