action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,584,172,0.000323
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,497,346,0.000515
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,6542,700,0.002148
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,7461,2011,0.003905
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,3414,261,0.000996
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,3396,310,0.001051
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,3509,554,0.001367
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,6791,365,0.001796
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,6862,968,0.002534
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5206,337,0.001446
structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,openai,gpt-5.6-luna,5151,519,0.001653
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,939,140,0.000356
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,940,210,0.00044
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9223,1831,0.004042
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,13562,761,0.003626
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,13737,824,0.003736
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,14654,2210,0.005583
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,14446,2461,0.005842
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,16060,1702,0.005254
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,15104,212,0.003275
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3288,1450,0.002398
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5353,2166,0.00367
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,4922,853,0.002008
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3276,495,0.001249
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,12319,2048,0.004636
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,11477,2308,0.005065
