action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,519,272,0.00043
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,862,349,0.000591
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,19161,931,0.004949
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,28791,3616,0.010097
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,18267,297,0.00401
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,15645,559,0.0038
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,15229,621,0.003791
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,14463,582,0.003591
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,17122,1698,0.005462
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,890,137,0.000342
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9733,1376,0.003598
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,15984,433,0.003716
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,15894,1000,0.004379
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,17101,2290,0.006168
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,16893,2244,0.006071
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,18968,2023,0.006221
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,18016,255,0.003909
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,7622,1961,0.003878
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3220,1977,0.003016
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,7121,771,0.002349
