date,provider,model,action,semantic_task,prompt_namespace,provider_call_status,request_count,input_tokens,cached_input_tokens,output_tokens,total_tokens,estimated_cost_usd,unknown_pricing_count
2026-08-10,openai,gpt-5-mini,artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,completed,18,180730,0,9905,190635,0.064994,0
2026-08-10,openai,gpt-5-mini,artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,completed,18,76500,0,32516,109016,0.084155,0
2026-08-10,openai,gpt-5-mini,artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,completed,19,157103,0,75364,232467,0.190005,0
2026-08-10,openai,gpt-5-mini,artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,completed,19,174670,0,74616,249286,0.192898,0
2026-08-10,openai,gpt-5-mini,artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,completed,18,66123,0,27482,93605,0.071495,0
2026-08-10,openai,gpt-5-mini,artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,completed,19,154967,0,43800,198767,0.126343,0
2026-08-10,openai,gpt-5-mini,artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,completed,10,133603,0,22009,155612,0.077421,0
2026-08-10,openai,gpt-5-mini,artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,completed,10,153368,0,28788,182156,0.095919,0
2026-08-10,openai,gpt-5-mini,artifacts:regenerate:summary,artifacts:regenerate:summary,report_vs/artifacts/regenerate/summary,completed,3,35883,0,10250,46133,0.029471,0
2026-08-10,openai,gpt-5-mini,artifacts:summary,artifacts:summary,report_vs/artifacts/summary,completed,19,150681,0,54736,205417,0.147142,0
2026-08-10,openai,gpt-5-mini,context_category_fit,context_category_fit,report_vs/context_category_fit,completed,19,176011,0,67398,243409,0.178799,0
2026-08-10,openai,gpt-5-mini,doc_map,doc_map,report_vs/doc_map,completed,19,189017,0,76628,265645,0.200509,0
2026-08-10,openai,gpt-5-mini,evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,completed,19,187427,0,46339,233766,0.139536,0
2026-08-10,openai,gpt-5-mini,evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,completed,19,185963,0,50719,236682,0.14793,0
2026-08-10,openai,gpt-5-mini,evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,completed,19,187476,0,56766,244242,0.160402,0
2026-08-10,openai,gpt-5-mini,evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,completed,19,191334,0,49199,240533,0.146234,0
2026-08-10,openai,gpt-5-mini,evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,completed,19,190286,0,29093,219379,0.105759,0
2026-08-10,openai,gpt-5-mini,rank_candidates,rank_candidates,rank_candidates,completed,141,113511,0,201371,314882,0.431126,0
2026-08-10,openai,gpt-5-mini,structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,completed,1,10950,0,4096,15046,0.010929,0
2026-08-10,openai,gpt-5-mini,structured_output:repair,structured_output:repair,report_vs/structured_output/repair,completed,78,532168,0,105359,637527,0.343764,0
2026-08-10,openai,gpt-5-mini,taxonomy,taxonomy,report_vs/taxonomy,completed,19,252803,0,70617,323420,0.204437,0
2026-08-10,openai,gpt-5-mini,validate:grounding,validate:grounding,report_vs/validate/grounding,completed,27,169879,0,48008,217887,0.138486,0
2026-08-10,openai,gpt-5-mini,validate:semantic,validate:semantic,report_vs/validate/semantic,completed,28,109147,0,35192,144339,0.097671,0
